,avgPrice,numListings
2014-05-29,14867.147482,1.0
2014-05-30,15078.8562,1.0
2014-05-31,9217.966593,2.0
2014-06-01,9316.404962,2.0
2014-06-02,9414.843331,2.0
2014-06-03,9513.2817,2.0
2014-06-04,9495.69652267,2.125
2014-06-05,9478.11134533,2.25
2014-06-06,9460.526168,2.375
2014-06-07,9442.94099067,2.5
2014-06-08,9425.35581333,2.625
2014-06-09,9407.770636,2.75
2014-06-10,9390.18545867,2.875
2014-06-11,9372.60028133,3.0
2014-06-12,10481.2447262,2.875
2014-06-13,11589.889171,2.75
2014-06-14,12698.5336158,2.625
2014-06-15,13807.1780607,2.5
2014-06-16,14915.8225055,2.375
2014-06-17,16024.4669503,2.25
2014-06-18,17133.1113952,2.125
2014-06-19,18241.75584,2.0
2014-06-20,16055.1440218,2.25
2014-06-21,13868.5322037,2.5
2014-06-22,11681.9203855,2.75
2014-06-23,9495.30856733,3.0
2014-06-24,15143.4231,3.0
2014-06-25,14998.2672015,2.95833333333
2014-06-26,14853.111303,2.91666666667
2014-06-27,14707.9554045,2.875
2014-06-28,14562.799506,2.83333333333
2014-06-29,14417.6436075,2.79166666667
2014-06-30,14272.487709,2.75
2014-07-01,14127.3318105,2.70833333333
2014-07-02,13982.175912,2.66666666667
2014-07-03,13837.0200135,2.625
2014-07-04,13691.864115,2.58333333333
2014-07-05,13546.7082165,2.54166666667
2014-07-06,13401.552318,2.5
2014-07-07,13256.3964195,2.45833333333
2014-07-08,13111.240521,2.41666666667
2014-07-09,12966.0846225,2.375
2014-07-10,12820.928724,2.33333333333
2014-07-11,12675.7728255,2.29166666667
2014-07-12,12530.616927,2.25
2014-07-13,12385.4610285,2.20833333333
2014-07-14,12240.30513,2.16666666667
2014-07-15,12095.1492315,2.125
2014-07-16,11949.993333,2.08333333333
2014-07-17,11804.8374345,2.04166666667
2014-07-18,11659.681536,2.0
2014-07-19,11539.6835965,2.0
2014-07-20,11419.685657,2.0
2014-07-21,11299.6877175,2.0
2014-07-22,12771.5199124,1.8
2014-07-23,14243.3521073,1.6
2014-07-24,15715.1843022,1.4
2014-07-25,17187.0164971,1.2
2014-07-26,18658.848692,1.0
2014-07-27,16167.4101505,1.0
2014-07-28,13675.971609,1.0
2014-07-29,16330.80537,2.0
2014-07-30,15215.2144454,2.0
2014-07-31,14099.6235208,2.0
2014-08-01,12984.0325962,2.0
2014-08-02,11868.4416716,2.0
2014-08-03,10752.850747,2.0
2014-08-04,10484.1719034,2.08333333333
2014-08-05,10215.4930598,2.16666666667
2014-08-06,9946.81421625,2.25
2014-08-07,9678.13537267,2.33333333333
2014-08-08,9409.45652908,2.41666666667
2014-08-09,9140.7776855,2.5
2014-08-10,8872.09884192,2.58333333333
2014-08-11,8603.41999833,2.66666666667
2014-08-12,8334.74115475,2.75
2014-08-13,8066.06231117,2.83333333333
2014-08-14,7797.38346758,2.91666666667
2014-08-15,7528.704624,3.0
2014-08-16,7725.91579721,2.85714285714
2014-08-17,7923.12697043,2.71428571429
2014-08-18,8120.33814364,2.57142857143
2014-08-19,8317.54931686,2.42857142857
2014-08-20,8514.76049007,2.28571428571
2014-08-21,8711.97166329,2.14285714286
2014-08-22,8909.1828365,2.0
2014-08-23,10957.1025592,2.0
2014-08-24,13005.0222819,2.0
2014-08-25,15052.9420046,2.0
2014-08-26,17100.8617273,2.0
2014-08-27,19148.78145,2.0
2014-08-28,17909.6869707,2.0
2014-08-29,16670.5924915,2.0
2014-08-30,15431.4980122,2.0
2014-08-31,14192.403533,2.0
2014-09-01,12953.3090537,2.0
2014-09-02,11714.2145745,2.0
2014-09-03,11826.0762972,2.25
2014-09-04,11937.93802,2.5
2014-09-05,12049.7997427,2.75
2014-09-06,12161.6614655,3.0
2014-09-07,12273.5231883,3.25
2014-09-08,12385.384911,3.5
2014-09-09,12497.2466338,3.75
2014-09-10,12609.1083565,4.0
2014-09-11,12187.9560669,3.88888888889
2014-09-12,11766.8037773,3.77777777778
2014-09-13,11345.6514877,3.66666666667
2014-09-14,10924.4991981,3.55555555556
2014-09-15,10503.3469084,3.44444444444
2014-09-16,10082.1946188,3.33333333333
2014-09-17,9661.04232922,3.22222222222
2014-09-18,9239.89003961,3.11111111111
2014-09-19,8818.73775,3.0
2014-09-20,8527.539183,2.75
2014-09-21,8236.340616,2.5
2014-09-22,7945.142049,2.25
2014-09-23,7653.943482,2.0
2014-09-24,24980.6873672,2.0
2014-09-25,42307.4312524,2.0
2014-09-26,59634.1751376,2.0
2014-09-27,76960.9190228,2.0
2014-09-28,94287.662908,2.0
2014-09-29,111614.406793,2.0
2014-09-30,128941.150678,2.0
2014-10-01,146267.894564,2.0
2014-10-02,163594.638449,2.0
2014-10-03,180921.382334,2.0
2014-10-04,198248.126219,2.0
2014-10-05,215574.870104,2.0
2014-10-06,232901.61399,2.0
2014-10-07,250228.357875,2.0
2014-10-08,267555.10176,2.0
2014-10-09,276097.2035,1.66666666667
2014-10-10,284639.30524,1.33333333333
