,avgPrice,numListings
2014-04-16,12009.5834659,4.0
2014-04-17,11785.2446204,3.95348837209
2014-04-18,11560.905775,3.90697674419
2014-04-19,11336.5669295,3.86046511628
2014-04-20,11112.228084,3.81395348837
2014-04-21,10887.8892386,3.76744186047
2014-04-22,10663.5503931,3.72093023256
2014-04-23,10439.2115476,3.67441860465
2014-04-24,10214.8727022,3.62790697674
2014-04-25,9990.5338567,3.58139534884
2014-04-26,9766.19501123,3.53488372093
2014-04-27,9541.85616576,3.48837209302
2014-04-28,9317.51732029,3.44186046512
2014-04-29,9093.17847482,3.39534883721
2014-04-30,8868.83962936,3.3488372093
2014-05-01,8644.50078389,3.3023255814
2014-05-02,8420.16193842,3.25581395349
2014-05-03,8195.82309295,3.20930232558
2014-05-04,7971.48424748,3.16279069767
2014-05-05,7747.14540202,3.11627906977
2014-05-06,7522.80655655,3.06976744186
2014-05-07,7298.46771108,3.02325581395
2014-05-08,7074.12886561,2.97674418605
2014-05-09,6849.79002014,2.93023255814
2014-05-10,6625.45117468,2.88372093023
2014-05-11,6401.11232921,2.83720930233
2014-05-12,6176.77348374,2.79069767442
2014-05-13,5952.43463827,2.74418604651
2014-05-14,5728.0957928,2.6976744186
2014-05-15,5503.75694734,2.6511627907
2014-05-16,5279.41810187,2.60465116279
2014-05-17,5055.0792564,2.55813953488
2014-05-18,4830.74041093,2.51162790698
2014-05-19,4606.40156546,2.46511627907
2014-05-20,4382.06272,2.41860465116
2014-05-21,4157.72387453,2.37209302326
2014-05-22,3933.38502906,2.32558139535
2014-05-23,3709.04618359,2.27906976744
2014-05-24,3484.70733812,2.23255813953
2014-05-25,3260.36849266,2.18604651163
2014-05-26,3036.02964719,2.13953488372
2014-05-27,2811.69080172,2.09302325581
2014-05-28,2587.35195625,2.04651162791
2014-05-29,2363.01311078,2.0
2014-05-30,4203.9801768,5.0
2014-05-31,894.960264559,4.0
2014-06-01,2003.94285021,4.66666666667
2014-06-02,3112.92543585,5.33333333333
2014-06-03,4221.9080215,6.0
2014-06-04,4424.33762743,6.375
2014-06-05,4626.76723336,6.75
2014-06-06,4829.19683929,7.125
2014-06-07,5031.62644523,7.5
2014-06-08,5234.05605116,7.875
2014-06-09,5436.48565709,8.25
2014-06-10,5638.91526302,8.625
2014-06-11,5841.34486895,9.0
2014-06-12,5621.04388253,9.25
2014-06-13,5400.74289612,9.5
2014-06-14,5180.4419097,9.75
2014-06-15,4960.14092329,10.0
2014-06-16,4739.83993687,10.25
2014-06-17,4519.53895046,10.5
2014-06-18,4299.23796404,10.75
2014-06-19,4078.93697763,11.0
2014-06-20,4151.08702671,10.75
2014-06-21,4223.23707579,10.5
2014-06-22,4295.38712487,10.25
2014-06-23,4367.53717395,10.0
2014-06-24,2920.01879653,6.0
2014-06-25,2918.91539907,5.91666666667
2014-06-26,2917.81200161,5.83333333333
2014-06-27,2916.70860416,5.75
2014-06-28,2915.6052067,5.66666666667
2014-06-29,2914.50180924,5.58333333333
2014-06-30,2913.39841179,5.5
2014-07-01,2912.29501433,5.41666666667
2014-07-02,2911.19161687,5.33333333333
