,avgPrice,numListings
2015-01-16,163.43780541,1.0
2015-01-17,165.822588648,1.0
2015-01-18,168.207371886,1.0
2015-01-19,170.592155124,1.0
2015-01-20,172.976938362,1.0
2015-01-21,175.3617216,1.0
2015-01-22,169.7287259,1.0
2015-01-23,164.0957302,1.0
2015-01-24,158.4627345,1.0
2015-01-25,155.746418064,1.0
2015-01-26,153.030101628,1.0
2015-01-27,150.313785192,1.0
2015-01-28,147.597468756,1.0
2015-01-29,144.88115232,1.0
2015-01-30,144.818515661,1.0
2015-01-31,144.755879002,1.0
2015-02-01,144.693242343,1.0
2015-02-02,144.630605684,1.0
2015-02-03,144.567969025,1.0
2015-02-04,144.505332365,1.0
2015-02-05,144.442695706,1.0
2015-02-06,144.380059047,1.0
2015-02-07,144.317422388,1.0
2015-02-08,144.254785729,1.0
2015-02-09,144.19214907,1.0
2015-02-10,145.235787369,1.0
2015-02-11,146.279425667,1.0
2015-02-12,147.323063966,1.0
2015-02-13,148.366702265,1.0
2015-02-14,149.410340564,1.0
2015-02-15,150.453978863,1.0
2015-02-16,151.497617161,1.0
2015-02-17,152.54125546,1.0
2015-02-18,152.317379009,1.0
2015-02-19,152.093502558,1.0
2015-02-20,151.869626107,1.0
2015-02-21,151.645749656,1.0
2015-02-22,151.421873204,1.0
2015-02-23,151.197996753,1.0
2015-02-24,150.974120302,1.0
2015-02-25,150.750243851,1.0
2015-02-26,150.5263674,1.0
2015-02-27,150.302490949,1.0
2015-02-28,150.078614498,1.0
2015-03-01,149.854738047,1.0
2015-03-02,149.630861596,1.0
2015-03-03,149.406985144,1.0
2015-03-04,149.183108693,1.0
2015-03-05,148.959232242,1.0
2015-03-06,148.735355791,1.0
2015-03-07,148.51147934,1.0
2015-03-08,148.019617198,1.0
2015-03-09,147.527755056,1.0
2015-03-10,147.035892913,1.0
2015-03-11,146.544030771,1.0
2015-03-12,146.052168629,1.0
2015-03-13,145.560306487,1.0
2015-03-14,145.068444344,1.0
2015-03-15,144.576582202,1.0
